"DateTime","Players","Average Players","Flags"
"2021-02-24 00:00:00",198,,
"2021-02-25 00:00:00",189,,
"2021-02-26 00:00:00",203,,
"2021-02-27 00:00:00",269,,
"2021-02-28 00:00:00",243,,
"2021-03-01 00:00:00",190,,
"2021-03-02 00:00:00",193,,
"2021-03-03 00:00:00",189,,
"2021-03-04 00:00:00",159,,
"2021-03-05 00:00:00",199,,
"2021-03-06 00:00:00",255,,
"2021-03-07 00:00:00",249,,
"2021-03-08 00:00:00",189,,
"2021-03-09 00:00:00",165,,
"2021-03-10 00:00:00",176,,
"2021-03-11 00:00:00",170,,
"2021-03-12 00:00:00",190,,
"2021-03-13 00:00:00",259,,
"2021-03-14 00:00:00",222,,
"2021-03-15 00:00:00",165,,
"2021-03-16 00:00:00",172,,
"2021-03-17 00:00:00",174,,
"2021-03-18 00:00:00",161,,
"2021-03-19 00:00:00",188,,
"2021-03-20 00:00:00",231,,
"2021-03-21 00:00:00",203,,
"2021-03-22 00:00:00",164,,
"2021-03-23 00:00:00",163,,
"2021-03-24 00:00:00",162,,
"2021-03-25 00:00:00",302,,
"2021-03-26 00:00:00",572,,
"2021-03-27 00:00:00",740,,
"2021-03-28 00:00:00",641,,
"2021-03-29 00:00:00",514,,
"2021-03-30 00:00:00",338,,
"2021-03-31 00:00:00",273,,
"2021-04-01 00:00:00",282,,
"2021-04-02 00:00:00",308,,
"2021-04-03 00:00:00",337,,
"2021-04-04 00:00:00",297,,
"2021-04-05 00:00:00",257,,
"2021-04-06 00:00:00",224,,
"2021-04-07 00:00:00",208,,
"2021-04-08 00:00:00",191,,
"2021-04-09 00:00:00",208,,
"2021-04-10 00:00:00",271,,
"2021-04-11 00:00:00",239,,
"2021-04-12 00:00:00",174,,
"2021-04-13 00:00:00",156,,
"2021-04-14 00:00:00",153,,
"2021-04-15 00:00:00",162,,
"2021-04-16 00:00:00",192,,
"2021-04-17 00:00:00",238,,
"2021-04-18 00:00:00",235,,
"2021-04-19 00:00:00",184,,
"2021-04-20 00:00:00",159,,
"2021-04-21 00:00:00",161,,
"2021-04-22 00:00:00",158,,
"2021-04-23 00:00:00",189,,
"2021-04-24 00:00:00",234,,
"2021-04-25 00:00:00",220,,
"2021-04-26 00:00:00",170,,
"2021-04-27 00:00:00",157,,
"2021-04-28 00:00:00",163,,
"2021-04-29 00:00:00",161,,
"2021-04-30 00:00:00",178,,
"2021-05-01 00:00:00",220,,
"2021-05-02 00:00:00",228,,
"2021-05-03 00:00:00",169,,
"2021-05-04 00:00:00",166,,
"2021-05-05 00:00:00",157,,
"2021-05-06 00:00:00",143,,
"2021-05-07 00:00:00",144,,
"2021-05-08 00:00:00",186,,
"2021-05-09 00:00:00",190,,
"2021-05-10 00:00:00",149,,
"2021-05-11 00:00:00",144,,
"2021-05-12 00:00:00",148,,
"2021-05-13 00:00:00",147,,
"2021-05-14 00:00:00",169,,
"2021-05-15 00:00:00",224,,
"2021-05-16 00:00:00",219,,
"2021-05-17 00:00:00",154,,
"2021-05-18 00:00:00",136,,
"2021-05-19 00:00:00",134,,
"2021-05-20 00:00:00",135,,
"2021-05-21 00:00:00",156,,
"2021-05-22 00:00:00",203,,
"2021-05-23 00:00:00",198,,
"2021-05-24 00:00:00",156,,
"2021-05-25 00:00:00",145,,
"2021-05-26 00:00:00",144,,
"2021-05-27 00:00:00",146,,
"2021-05-28 00:00:00",153,,
"2021-05-29 00:00:00",195,,
"2021-05-30 00:00:00",189,,
"2021-05-31 00:00:00",146,,
"2021-06-01 00:00:00",142,,
"2021-06-02 00:00:00",136,,
"2021-06-03 00:00:00",143,,
"2021-06-04 00:00:00",176,,
"2021-06-05 00:00:00",190,,
"2021-06-06 00:00:00",165,,
"2021-06-07 00:00:00",140,,
"2021-06-08 00:00:00",137,,
"2021-06-09 00:00:00",122,,
"2021-06-10 00:00:00",120,,
"2021-06-11 00:00:00",142,,
"2021-06-12 00:00:00",173,,
"2021-06-13 00:00:00",183,,
"2021-06-14 00:00:00",126,,
"2021-06-15 00:00:00",130,,
"2021-06-16 00:00:00",124,,
"2021-06-17 00:00:00",137,,
"2021-06-18 00:00:00",134,,
"2021-06-19 00:00:00",161,,
"2021-06-20 00:00:00",151,,
"2021-06-21 00:00:00",114,,
"2021-06-22 00:00:00",125,,
"2021-06-23 00:00:00",128,,
"2021-06-24 00:00:00",240,,
"2021-06-25 00:00:00",648,,
"2021-06-26 00:00:00",990,,
"2021-06-27 00:00:00",800,,
"2021-06-28 00:00:00",598,,
"2021-06-29 00:00:00",553,,
"2021-06-30 00:00:00",577,,
"2021-07-01 00:00:00",510,,
"2021-07-02 00:00:00",586,,
"2021-07-03 00:00:00",637,,
"2021-07-04 00:00:00",582,,
"2021-07-05 00:00:00",470,,
"2021-07-06 00:00:00",473,,
"2021-07-07 00:00:00",455,,
"2021-07-08 00:00:00",504,,
"2021-07-09 00:00:00",446,,
"2021-07-10 00:00:00",427,,
"2021-07-11 00:00:00",386,,
"2021-07-12 00:00:00",252,,
"2021-07-13 00:00:00",277,,
"2021-07-14 00:00:00",245,,
"2021-07-15 00:00:00",229,,
"2021-07-16 00:00:00",255,,
"2021-07-17 00:00:00",310,,
"2021-07-18 00:00:00",293,,
"2021-07-19 00:00:00",263,,
"2021-07-20 00:00:00",211,,
"2021-07-21 00:00:00",201,,
"2021-07-22 00:00:00",212,,
"2021-07-23 00:00:00",222,,
"2021-07-24 00:00:00",265,,
"2021-07-25 00:00:00",246,,
"2021-07-26 00:00:00",209,,
"2021-07-27 00:00:00",193,,
"2021-07-28 00:00:00",333,,
"2021-07-29 00:00:00",691,,
"2021-07-30 00:00:00",733,,
"2021-07-31 00:00:00",831,,
"2021-08-01 00:00:00",980,,
"2021-08-02 00:00:00",877,,
"2021-08-03 00:00:00",520,,
"2021-08-04 00:00:00",414,,
"2021-08-05 00:00:00",357,,
"2021-08-06 00:00:00",373,,
"2021-08-07 00:00:00",372,,
"2021-08-08 00:00:00",344,,
"2021-08-09 00:00:00",285,,
"2021-08-10 00:00:00",246,,
"2021-08-11 00:00:00",239,,
"2021-08-12 00:00:00",255,,
"2021-08-13 00:00:00",235,,
"2021-08-14 00:00:00",268,,
"2021-08-15 00:00:00",291,,
"2021-08-16 00:00:00",220,,
"2021-08-17 00:00:00",223,,
"2021-08-18 00:00:00",212,,
"2021-08-19 00:00:00",188,,
"2021-08-20 00:00:00",216,,
"2021-08-21 00:00:00",278,,
"2021-08-22 00:00:00",246,,
"2021-08-23 00:00:00",201,,
"2021-08-24 00:00:00",212,,
"2021-08-25 00:00:00",202,,
"2021-08-26 00:00:00",176,,
"2021-08-27 00:00:00",229,,
"2021-08-28 00:00:00",247,,
"2021-08-29 00:00:00",230,,
"2021-08-30 00:00:00",197,,
"2021-08-31 00:00:00",181,,
"2021-09-01 00:00:00",189,,
"2021-09-02 00:00:00",183,,
"2021-09-03 00:00:00",192,,
"2021-09-04 00:00:00",222,,
"2021-09-05 00:00:00",218,,
"2021-09-06 00:00:00",168,,
"2021-09-07 00:00:00",177,,
"2021-09-08 00:00:00",138,,
"2021-09-09 00:00:00",137,,
"2021-09-10 00:00:00",172,,
"2021-09-11 00:00:00",206,,
"2021-09-12 00:00:00",226,,
"2021-09-13 00:00:00",145,,
"2021-09-14 00:00:00",149,,
"2021-09-15 00:00:00",154,,
"2021-09-16 00:00:00",154,,
"2021-09-17 00:00:00",147,,
"2021-09-18 00:00:00",199,,
"2021-09-19 00:00:00",218,,
"2021-09-20 00:00:00",175,,
"2021-09-21 00:00:00",143,,
"2021-09-22 00:00:00",137,,
"2021-09-23 00:00:00",155,,
"2021-09-24 00:00:00",148,,
"2021-09-25 00:00:00",178,,
"2021-09-26 00:00:00",180,,
"2021-09-27 00:00:00",125,,
"2021-09-28 00:00:00",130,,
"2021-09-29 00:00:00",120,,
"2021-09-30 00:00:00",253,,
"2021-10-01 00:00:00",540,,
"2021-10-02 00:00:00",728,,
"2021-10-03 00:00:00",731,,
"2021-10-04 00:00:00",542,,
"2021-10-05 00:00:00",583,,
"2021-10-06 00:00:00",555,,
"2021-10-07 00:00:00",542,,
"2021-10-08 00:00:00",395,,
"2021-10-09 00:00:00",421,,
"2021-10-10 00:00:00",344,,
"2021-10-11 00:00:00",230,,
"2021-10-12 00:00:00",211,,
"2021-10-13 00:00:00",192,,
"2021-10-14 00:00:00",195,,
"2021-10-15 00:00:00",231,,
"2021-10-16 00:00:00",266,,
"2021-10-17 00:00:00",236,,
"2021-10-18 00:00:00",165,,
"2021-10-19 00:00:00",160,,
"2021-10-20 00:00:00",157,,
"2021-10-21 00:00:00",160,,
"2021-10-22 00:00:00",197,,
"2021-10-23 00:00:00",204,,
"2021-10-24 00:00:00",211,,
"2021-10-25 00:00:00",143,,
"2021-10-26 00:00:00",153,,
"2021-10-27 00:00:00",133,,
"2021-10-28 00:00:00",141,,
"2021-10-29 00:00:00",193,,
"2021-10-30 00:00:00",251,,
"2021-10-31 00:00:00",231,,
"2021-11-01 00:00:00",174,,
"2021-11-02 00:00:00",162,,
"2021-11-03 00:00:00",147,,
"2021-11-04 00:00:00",145,,
"2021-11-05 00:00:00",183,,
"2021-11-06 00:00:00",197,,
"2021-11-07 00:00:00",194,,
"2021-11-08 00:00:00",137,,
"2021-11-09 00:00:00",129,,
"2021-11-10 00:00:00",118,,
"2021-11-11 00:00:00",126,,
"2021-11-12 00:00:00",150,,
"2021-11-13 00:00:00",187,,
"2021-11-14 00:00:00",174,,
"2021-11-15 00:00:00",131,,
"2021-11-16 00:00:00",125,,
"2021-11-17 00:00:00",141,,
"2021-11-18 00:00:00",131,,
"2021-11-19 00:00:00",171,,
"2021-11-20 00:00:00",209,,
"2021-11-21 00:00:00",187,,
"2021-11-22 00:00:00",135,,
"2021-11-23 00:00:00",136,,
"2021-11-24 00:00:00",175,,
"2021-11-25 00:00:00",364,,
"2021-11-26 00:00:00",556,,
"2021-11-27 00:00:00",634,,
"2021-11-28 00:00:00",566,,
"2021-11-29 00:00:00",452,,
"2021-11-30 00:00:00",450,,
"2021-12-01 00:00:00",441,,
"2021-12-02 00:00:00",334,,
"2021-12-03 00:00:00",330,,
"2021-12-04 00:00:00",350,,
"2021-12-05 00:00:00",289,,
"2021-12-06 00:00:00",194,,
"2021-12-07 00:00:00",183,,
"2021-12-08 00:00:00",180,,
"2021-12-09 00:00:00",167,,
"2021-12-10 00:00:00",207,,
"2021-12-11 00:00:00",241,,
"2021-12-12 00:00:00",237,,
"2021-12-13 00:00:00",180,,
"2021-12-14 00:00:00",156,,
"2021-12-15 00:00:00",143,,
"2021-12-16 00:00:00",145,,
"2021-12-17 00:00:00",163,,
"2021-12-18 00:00:00",212,,
"2021-12-19 00:00:00",204,,
"2021-12-20 00:00:00",179,,
"2021-12-21 00:00:00",172,,
"2021-12-22 00:00:00",216,,
"2021-12-23 00:00:00",356,,
"2021-12-24 00:00:00",424,,
"2021-12-25 00:00:00",557,,
"2021-12-26 00:00:00",524,,
"2021-12-27 00:00:00",475,,
"2021-12-28 00:00:00",458,,
"2021-12-29 00:00:00",435,,
"2021-12-30 00:00:00",485,,
"2021-12-31 00:00:00",622,,
"2022-01-01 00:00:00",660,,
"2022-01-02 00:00:00",573,,
"2022-01-03 00:00:00",783,,
"2022-01-04 00:00:00",694,,
"2022-01-05 00:00:00",687,,
"2022-01-06 00:00:00",474,,
"2022-01-07 00:00:00",429,,
"2022-01-08 00:00:00",506,,
"2022-01-09 00:00:00",458,,
"2022-01-10 00:00:00",363,,
"2022-01-11 00:00:00",339,,
"2022-01-12 00:00:00",318,,
"2022-01-13 00:00:00",343,,
"2022-01-14 00:00:00",321,,
"2022-01-15 00:00:00",362,,
"2022-01-16 00:00:00",360,,
"2022-01-17 00:00:00",290,,
"2022-01-18 00:00:00",254,,
"2022-01-19 00:00:00",279,,
"2022-01-20 00:00:00",273,,
"2022-01-21 00:00:00",268,,
"2022-01-22 00:00:00",334,,
"2022-01-23 00:00:00",346,,
"2022-01-24 00:00:00",261,,
"2022-01-25 00:00:00",247,,
"2022-01-26 00:00:00",239,,
"2022-01-27 00:00:00",267,,
"2022-01-28 00:00:00",581,,
"2022-01-29 00:00:00",829,,
"2022-01-30 00:00:00",802,,
"2022-01-31 00:00:00",574,,
"2022-02-01 00:00:00",682,,
"2022-02-02 00:00:00",726,,
"2022-02-03 00:00:00",683,,
"2022-02-04 00:00:00",514,,
"2022-02-05 00:00:00",486,,
"2022-02-06 00:00:00",473,,
"2022-02-07 00:00:00",322,,
"2022-02-08 00:00:00",341,,
"2022-02-09 00:00:00",303,,
"2022-02-10 00:00:00",280,,
"2022-02-11 00:00:00",304,,
"2022-02-12 00:00:00",336,,
"2022-02-13 00:00:00",348,,
"2022-02-14 00:00:00",264,,
"2022-02-15 00:00:00",273,,
"2022-02-16 00:00:00",259,,
"2022-02-17 00:00:00",212,,
"2022-02-18 00:00:00",253,,
"2022-02-19 00:00:00",318,,
"2022-02-20 00:00:00",309,,
"2022-02-21 00:00:00",271,,
"2022-02-22 00:00:00",250,,
"2022-02-23 00:00:00",227,,
"2022-02-24 00:00:00",226,,
"2022-02-25 00:00:00",258,,
"2022-02-26 00:00:00",300,,
"2022-02-27 00:00:00",282,,
"2022-02-28 00:00:00",248,,
"2022-03-01 00:00:00",992,,
"2022-03-02 00:00:00",1241,,
"2022-03-03 00:00:00",1255,,
"2022-03-04 00:00:00",1297,,
"2022-03-05 00:00:00",1414,,
"2022-03-06 00:00:00",1301,,
"2022-03-07 00:00:00",1060,,
"2022-03-08 00:00:00",648,,
"2022-03-09 00:00:00",515,,
"2022-03-10 00:00:00",462,,
"2022-03-11 00:00:00",549,,
"2022-03-12 00:00:00",541,,
"2022-03-13 00:00:00",492,,
"2022-03-14 00:00:00",327,,
"2022-03-15 00:00:00",323,,
"2022-03-16 00:00:00",290,,
"2022-03-17 00:00:00",293,,
"2022-03-18 00:00:00",382,,
"2022-03-19 00:00:00",473,,
"2022-03-20 00:00:00",403,,
"2022-03-21 00:00:00",285,,
"2022-03-22 00:00:00",280,,
"2022-03-23 00:00:00",258,,
"2022-03-24 00:00:00",282,,
"2022-03-25 00:00:00",298,,
"2022-03-26 00:00:00",392,,
"2022-03-27 00:00:00",350,,
"2022-03-28 00:00:00",249,,
"2022-03-29 00:00:00",234,,
"2022-03-30 00:00:00",217,,
"2022-03-31 00:00:00",226,,
"2022-04-01 00:00:00",234,,
"2022-04-02 00:00:00",337,,
"2022-04-03 00:00:00",335,,
"2022-04-04 00:00:00",272,,
"2022-04-05 00:00:00",280,,
"2022-04-06 00:00:00",223,,
"2022-04-07 00:00:00",555,,
"2022-04-08 00:00:00",815,,
"2022-04-09 00:00:00",962,,
"2022-04-10 00:00:00",914,,
"2022-04-11 00:00:00",752,,
"2022-04-12 00:00:00",532,,
"2022-04-13 00:00:00",431,,
"2022-04-14 00:00:00",356,,
"2022-04-15 00:00:00",412,,
"2022-04-16 00:00:00",446,,
"2022-04-17 00:00:00",375,,
"2022-04-18 00:00:00",326,,
"2022-04-19 00:00:00",272,,
"2022-04-20 00:00:00",253,,
"2022-04-21 00:00:00",237,,
"2022-04-22 00:00:00",282,,
"2022-04-23 00:00:00",336,,
"2022-04-24 00:00:00",283,,
"2022-04-25 00:00:00",213,,
"2022-04-26 00:00:00",198,,
"2022-04-27 00:00:00",212,,
"2022-04-28 00:00:00",209,,
"2022-04-29 00:00:00",228,,
"2022-04-30 00:00:00",298,,
"2022-05-01 00:00:00",295,,
"2022-05-02 00:00:00",287,,
"2022-05-03 00:00:00",276,,
"2022-05-04 00:00:00",206,,
"2022-05-05 00:00:00",209,,
"2022-05-06 00:00:00",200,,
"2022-05-07 00:00:00",289,,
"2022-05-08 00:00:00",293,,
"2022-05-09 00:00:00",196,,
"2022-05-10 00:00:00",216,,
"2022-05-11 00:00:00",191,,
"2022-05-12 00:00:00",186,,
"2022-05-13 00:00:00",222,,
"2022-05-14 00:00:00",270,,
"2022-05-15 00:00:00",243,,
"2022-05-16 00:00:00",188,,
"2022-05-17 00:00:00",174,,
"2022-05-18 00:00:00",188,,
"2022-05-19 00:00:00",185,,
"2022-05-20 00:00:00",204,,
"2022-05-21 00:00:00",226,,
"2022-05-22 00:00:00",231,,
"2022-05-23 00:00:00",172,,
"2022-05-24 00:00:00",152,,
"2022-05-25 00:00:00",178,,
"2022-05-26 00:00:00",183,,
"2022-05-27 00:00:00",213,,
"2022-05-28 00:00:00",242,,
"2022-05-29 00:00:00",255,,
"2022-05-30 00:00:00",202,,
"2022-05-31 00:00:00",170,,
"2022-06-01 00:00:00",175,,
"2022-06-02 00:00:00",203,,
"2022-06-03 00:00:00",222,,
"2022-06-04 00:00:00",245,,
"2022-06-05 00:00:00",221,,
"2022-06-06 00:00:00",190,,
"2022-06-07 00:00:00",179,,
"2022-06-08 00:00:00",187,,
"2022-06-09 00:00:00",166,,
"2022-06-10 00:00:00",189,,
"2022-06-11 00:00:00",242,,
"2022-06-12 00:00:00",214,,
"2022-06-13 00:00:00",184,,
"2022-06-14 00:00:00",166,,
"2022-06-15 00:00:00",165,,
"2022-06-16 00:00:00",192,,
"2022-06-17 00:00:00",202,,
"2022-06-18 00:00:00",220,,
"2022-06-19 00:00:00",204,,
"2022-06-20 00:00:00",176,,
"2022-06-21 00:00:00",170,,
"2022-06-22 00:00:00",174,,
"2022-06-23 00:00:00",183,,
"2022-06-24 00:00:00",548,,
"2022-06-25 00:00:00",650,,
"2022-06-26 00:00:00",655,,
"2022-06-27 00:00:00",685,,
"2022-06-28 00:00:00",685,,
"2022-06-29 00:00:00",655,,
"2022-06-30 00:00:00",627,,
"2022-07-01 00:00:00",681,,
"2022-07-02 00:00:00",750,,
"2022-07-03 00:00:00",688,,
"2022-07-04 00:00:00",625,,
"2022-07-05 00:00:00",584,,
"2022-07-06 00:00:00",591,,
"2022-07-07 00:00:00",633,,
"2022-07-08 00:00:00",526,,
"2022-07-09 00:00:00",489,,
"2022-07-10 00:00:00",426,,
"2022-07-11 00:00:00",373,,
"2022-07-12 00:00:00",346,,
"2022-07-13 00:00:00",306,,
"2022-07-14 00:00:00",293,,
"2022-07-15 00:00:00",309,,
"2022-07-16 00:00:00",342,,
"2022-07-17 00:00:00",339,,
"2022-07-18 00:00:00",294,,
"2022-07-19 00:00:00",290,,
"2022-07-20 00:00:00",265,,
"2022-07-21 00:00:00",283,,
"2022-07-22 00:00:00",309,,
"2022-07-23 00:00:00",338,,
"2022-07-24 00:00:00",313,,
"2022-07-25 00:00:00",266,,
"2022-07-26 00:00:00",257,,
"2022-07-27 00:00:00",223,,
"2022-07-28 00:00:00",272,,
"2022-07-29 00:00:00",267,,
"2022-07-30 00:00:00",302,,
"2022-07-31 00:00:00",266,,
"2022-08-01 00:00:00",244,,
"2022-08-02 00:00:00",236,,
"2022-08-03 00:00:00",234,,
"2022-08-04 00:00:00",238,,
"2022-08-05 00:00:00",251,,
"2022-08-06 00:00:00",289,,
"2022-08-07 00:00:00",290,,
"2022-08-08 00:00:00",267,,
"2022-08-09 00:00:00",245,,
"2022-08-10 00:00:00",232,,
"2022-08-11 00:00:00",226,,
"2022-08-12 00:00:00",228,,
"2022-08-13 00:00:00",267,,
"2022-08-14 00:00:00",253,,
"2022-08-15 00:00:00",241,,
"2022-08-16 00:00:00",229,,
"2022-08-17 00:00:00",234,,
"2022-08-18 00:00:00",214,,
"2022-08-19 00:00:00",232,,
"2022-08-20 00:00:00",260,,
"2022-08-21 00:00:00",236,,
"2022-08-22 00:00:00",206,,
"2022-08-23 00:00:00",227,,
"2022-08-24 00:00:00",214,,
"2022-08-25 00:00:00",194,,
"2022-08-26 00:00:00",198,,
"2022-08-27 00:00:00",251,,
"2022-08-28 00:00:00",250,,
"2022-08-29 00:00:00",221,,
"2022-08-30 00:00:00",219,,
"2022-08-31 00:00:00",238,,
"2022-09-01 00:00:00",215,,
"2022-09-02 00:00:00",229,,
"2022-09-03 00:00:00",252,,
"2022-09-04 00:00:00",259,,
"2022-09-05 00:00:00",223,,
"2022-09-06 00:00:00",199,,
"2022-09-07 00:00:00",183,,
"2022-09-08 00:00:00",174,,
"2022-09-09 00:00:00",183,,
"2022-09-10 00:00:00",254,,
"2022-09-11 00:00:00",257,,
"2022-09-12 00:00:00",176,,
"2022-09-13 00:00:00",177,,
"2022-09-14 00:00:00",152,,
"2022-09-15 00:00:00",153,,
"2022-09-16 00:00:00",189,,
"2022-09-17 00:00:00",261,,
"2022-09-18 00:00:00",240,,
"2022-09-19 00:00:00",175,,
"2022-09-20 00:00:00",155,,
"2022-09-21 00:00:00",131,,
"2022-09-22 00:00:00",154,,
"2022-09-23 00:00:00",156,100,
"2022-09-24 00:00:00",220,154,
"2022-09-25 00:00:00",201,158,
"2022-09-26 00:00:00",148,104,
"2022-09-27 00:00:00",149,94,
"2022-09-28 00:00:00",142,101,
"2022-09-29 00:00:00",197,111,
"2022-09-30 00:00:00",780,441,
"2022-10-01 00:00:00",1028,664,
"2022-10-02 00:00:00",975,644,
"2022-10-03 00:00:00",779,509,
"2022-10-04 00:00:00",767,465,
"2022-10-05 00:00:00",689,438,
"2022-10-06 00:00:00",714,418,
"2022-10-07 00:00:00",510,322,
"2022-10-08 00:00:00",476,300,
"2022-10-09 00:00:00",435,264,
"2022-10-10 00:00:00",278,188,
"2022-10-11 00:00:00",244,164,
"2022-10-12 00:00:00",267,165,
"2022-10-13 00:00:00",234,158,
"2022-10-14 00:00:00",294,180,
"2022-10-15 00:00:00",349,234,
"2022-10-16 00:00:00",317,224,
"2022-10-17 00:00:00",233,149,
"2022-10-18 00:00:00",215,138,
"2022-10-19 00:00:00",212,132,
"2022-10-20 00:00:00",218,133,
"2022-10-21 00:00:00",259,142,
"2022-10-22 00:00:00",289,189,
"2022-10-23 00:00:00",278,196,
"2022-10-24 00:00:00",193,125,
"2022-10-25 00:00:00",186,113,
"2022-10-26 00:00:00",201,117,
"2022-10-27 00:00:00",192,117,
"2022-10-28 00:00:00",235,136,
"2022-10-29 00:00:00",281,185,
"2022-10-30 00:00:00",260,179,
"2022-10-31 00:00:00",172,116,
"2022-11-01 00:00:00",197,117,
"2022-11-02 00:00:00",177,112,
"2022-11-03 00:00:00",161,110,
